Library Visits,2016/17,2017/18,2018/19,,,,,
Allerton Bywater,Closed,Closed,Closed,,,,,
Ardsley & Tingley,10680,7481,7321,,,,,
Armley,134206,113361,100991,,,,,
Armley Heights,Closed,Closed,Closed,,,,,
Beeston,52633,53380,50554,,,,,
Belle Isle,Closed,Closed,Closed,,,,,
Boston Spa,26390,26618,25232,,,,,
Bramley,44049,5221,150,,,,,
Broad Lane,Closed,Closed,Closed,,,,,
Burley,Closed,Closed,Closed,,,,,
Calverley,17629,15328,15265,,,,,
Central,529474,537907,570671,,,,,
Chapel Allerton,73407,73243,64952,,,,,
Chapeltown,67896,106358,100965,,,,,
Compton,302197,111847,95224,,,,,
Cottingley,Closed,Closed,Closed,,,,,
Cow Close,Closed,Closed,Closed,,,,,
Crossgates,87125,93410,87473,,,,,
Dewsbury,24422,,17408,,,,,
Drighlington,Closed,Closed,Closed,,,,,
Farsley,33158,30146,29372,,,,,
Garforth,94409,72852,2226,,,,,
Gildersome,2591,1697,1950,,,,,
Guiseley,75747,63951,68364,,,,,
Halton,42999,47410,44203,,,,,
Headingley,124821,107060,129771,,,,,
Holbeck,Closed,Closed,Closed,,,,,
Holt Park,25443,86658,69825,,,,,
Horsforth,86661,103607,103167,,,,,
Hunslet,13992,11012,13220,,,,,
Ireland Wood,Closed,Closed,Closed,,,,,
Kippax,30610,26810,24127,,,,,
Kirkstall,Closed,Closed,Closed,,,,,
Lofthouse,Closed,Closed,Closed,,,,,
Meanwood,Closed,Closed,Closed,,,,,
Methley,Closed,Closed,Closed,,,,,
Middleton,36099,46175,392,,,,,
Moor Allerton,136246,160809,89510,,,,,
Morley,80899,86470,28935,,,,,
Oakwood,106748,101566,92158,,,,,
Osmondthorpe,Closed,Closed,Closed,,,,,
Otley,104815,104108,70327,,,,,
Pudsey,140347,148251,134535,,,,,
Rawdon,Closed,Closed,Closed,,,,,
Richmond Hill,Closed,Closed,Closed,,,,,
Rothwell,75294,74870,41715,,,,,
Scholes,2254,2153,2301,,,,,
Seacroft,44402,7697,N/A,,,,,
Shadwell,Closed,Closed,Closed,,,,,
Swarcliffe,Closed,Closed,Closed,,,,,
Swillington,Closed,Closed,Closed,,,,,
Swinnow,Closed,Closed,Closed,,,,,
Wetherby,64445,66042,76297,,,,,
Whinmoor,5263,4638,4354,,,,,
Woodhouse,Closed,Closed,Closed,,,,,
Yeadon,60504,,,,,,,
